index,equity
581,10315.378054592904
582,10315.378054592904
583,10315.378054592904
584,10315.378054592904
585,10315.378054592904
586,10315.378054592904
587,10315.378054592904
588,10374.970332705916
589,10374.970332705916
590,10374.970332705916
591,10374.970332705916
592,10374.970332705916
593,10374.970332705916
594,10374.970332705916
595,10374.970332705916
596,10374.970332705916
597,10374.970332705916
598,10374.970332705916
599,10374.970332705916
600,10374.970332705916
601,10374.970332705916
602,10374.970332705916
603,10374.970332705916
604,10374.970332705916
605,10374.970332705916
606,10374.970332705916
607,10374.970332705916
608,10374.970332705916
609,10374.970332705916
610,10374.970332705916
611,10374.970332705916
612,10374.970332705916
613,10374.970332705916
614,10374.970332705916
615,10374.970332705916
616,10374.970332705916
617,10374.970332705916
618,10374.970332705916
619,10374.970332705916
620,10395.560454259105
621,10395.560454259105
622,10395.560454259105
623,10395.560454259105
624,10395.560454259105
625,10395.560454259105
626,10395.560454259105
627,10395.560454259105
628,10395.560454259105
629,10395.560454259105
630,10395.560454259105
631,10423.421845959221
632,10423.421845959221
633,10423.421845959221
634,10423.421845959221
635,10423.421845959221
636,10423.421845959221
637,10423.421845959221
638,10423.421845959221
639,10423.421845959221
640,10423.421845959221
641,10423.421845959221
642,10423.421845959221
643,10423.421845959221
644,10423.421845959221
645,10423.421845959221
646,10423.421845959221
647,10423.421845959221
648,10423.421845959221
649,10423.421845959221
650,10423.421845959221
651,10423.421845959221
652,10450.605930632199
653,10450.605930632199
654,10450.605930632199
655,10450.605930632199
656,10450.605930632199
657,10450.605930632199
658,10450.605930632199
659,10450.605930632199
660,10450.605930632199
661,10450.605930632199
662,10450.605930632199
663,10450.605930632199
664,10450.605930632199
665,10450.605930632199
666,10450.605930632199
667,10450.605930632199
668,10450.605930632199
669,10450.605930632199
670,10450.605930632199
671,10450.605930632199
672,10450.605930632199
673,10450.605930632199
674,10450.605930632199
675,10450.605930632199
676,10450.605930632199
677,10450.605930632199
678,10450.605930632199
679,10450.605930632199
680,10450.605930632199
681,10450.605930632199
682,10450.605930632199
683,10450.605930632199
684,10450.605930632199
685,10446.207562018533
686,10446.207562018533
687,10446.207562018533
688,10446.207562018533
689,10446.207562018533
690,10446.207562018533
691,10446.207562018533
692,10446.207562018533
693,10446.207562018533
694,10446.207562018533
695,10446.207562018533
696,10446.207562018533
697,10446.207562018533
698,10446.207562018533
699,10446.207562018533
700,10446.207562018533
701,10446.207562018533
702,10446.207562018533
703,10446.207562018533
704,10446.207562018533
705,10446.207562018533
706,10446.207562018533
707,10446.207562018533
708,10446.207562018533
709,10446.207562018533
710,10446.207562018533
711,10446.207562018533
712,10446.207562018533
713,10446.207562018533
714,10456.825221515946
715,10456.825221515946
716,10456.825221515946
717,10456.825221515946
718,10456.825221515946
719,10456.825221515946
720,10456.825221515946
721,10456.825221515946
722,10456.825221515946
723,10456.825221515946
724,10456.825221515946
725,10456.825221515946
726,10456.825221515946
727,10456.825221515946
728,10456.825221515946
729,10456.825221515946
730,10456.825221515946
731,10456.825221515946
732,10456.825221515946
733,10456.825221515946
734,10456.825221515946
735,10456.825221515946
736,10456.825221515946
737,10456.825221515946
738,10456.825221515946
739,10456.825221515946
740,10456.825221515946
741,10456.825221515946
742,10456.825221515946
743,10456.825221515946
744,10456.825221515946
745,10456.825221515946
746,10456.825221515946
747,10456.825221515946
748,10456.825221515946
749,10456.825221515946
750,10456.825221515946
751,10456.825221515946
752,10456.825221515946
753,10456.825221515946
754,10456.825221515946
755,10456.825221515946
756,10456.825221515946
757,10456.825221515946
758,10456.825221515946
759,10456.825221515946
760,10456.825221515946
761,10456.825221515946
762,10456.825221515946
763,10456.825221515946
764,10456.825221515946
765,10456.825221515946
766,10456.825221515946
767,10456.825221515946
768,10456.825221515946
769,10456.825221515946
770,10456.825221515946
771,10456.825221515946
772,10456.825221515946
773,10456.825221515946
774,10456.825221515946
775,10456.825221515946
776,10456.825221515946
777,10456.825221515946
778,10456.825221515946
779,10456.825221515946
780,10456.825221515946
781,10456.825221515946
782,10456.825221515946
783,10456.825221515946
784,10456.825221515946
785,10456.825221515946
786,10456.825221515946
787,10456.825221515946
788,10456.825221515946
789,10483.611217338757
790,10483.611217338757
791,10483.611217338757
792,10483.611217338757
793,10483.611217338757
794,10483.611217338757
795,10483.611217338757
796,10483.611217338757
797,10483.611217338757
798,10483.611217338757
799,10483.611217338757
800,10483.611217338757
801,10483.611217338757
802,10483.611217338757
803,10483.611217338757
804,10483.611217338757
805,10483.611217338757
806,10483.611217338757
807,10483.611217338757
808,10483.611217338757
809,10483.611217338757
810,10483.611217338757
811,10483.611217338757
812,10483.611217338757
813,10483.611217338757
814,10483.611217338757
815,10483.611217338757
816,10483.611217338757
817,10483.611217338757
818,10483.611217338757
819,10483.611217338757
820,10483.611217338757
821,10483.611217338757
822,10483.611217338757
823,10483.611217338757
824,10483.611217338757
825,10483.611217338757
826,10483.611217338757
827,10483.611217338757
828,10483.611217338757
829,10483.611217338757
830,10483.611217338757
831,10483.611217338757
832,10483.611217338757
833,10483.611217338757
834,10483.611217338757
835,10483.611217338757
836,10483.611217338757
837,10483.611217338757
838,10483.611217338757
839,10483.611217338757
840,10483.611217338757
841,10483.611217338757
842,10483.611217338757
843,10483.611217338757
844,10483.611217338757
845,10483.611217338757
846,10483.611217338757
847,10483.611217338757
848,10483.611217338757
849,10483.611217338757
850,10483.611217338757
851,10483.611217338757
852,10483.611217338757
853,10483.611217338757
854,10483.611217338757
855,10483.611217338757
856,10483.611217338757
857,10483.611217338757
858,10483.611217338757
859,10483.611217338757
860,10600.169355319376
861,10600.169355319376
862,10600.169355319376
863,10600.169355319376
864,10600.169355319376
865,10600.169355319376
866,10600.169355319376
867,10600.169355319376
868,10600.169355319376
869,10600.169355319376
870,10600.169355319376
871,10600.169355319376
872,10600.169355319376
873,10600.169355319376
874,10600.169355319376
875,10600.169355319376
876,10600.169355319376
877,10600.169355319376
878,10600.169355319376
879,10600.169355319376
880,10600.169355319376
881,10600.169355319376
882,10600.169355319376
883,10600.169355319376
884,10600.169355319376
885,10600.169355319376
886,10600.169355319376
887,10600.169355319376
888,10600.169355319376
889,10600.169355319376
890,10600.169355319376
891,10600.169355319376
892,10600.169355319376
893,10600.169355319376
894,10600.169355319376
895,10600.169355319376
896,10600.169355319376
897,10600.169355319376
898,10600.169355319376
899,10600.169355319376
900,10600.169355319376
901,10600.169355319376
902,10600.169355319376
903,10600.169355319376
904,10600.169355319376
905,10600.169355319376
906,10600.169355319376
907,10600.169355319376
908,10600.169355319376
909,10600.169355319376
910,10600.169355319376
911,10600.169355319376
912,10600.169355319376
913,10600.169355319376
914,10600.169355319376
915,10600.169355319376
916,10600.169355319376
917,10600.169355319376
918,10600.169355319376
919,10600.169355319376
920,10600.169355319376
921,10600.169355319376
922,10600.169355319376
923,10600.169355319376
924,10600.169355319376
925,10600.169355319376
926,10600.169355319376
927,10600.169355319376
928,10600.169355319376
929,10600.169355319376
930,10600.169355319376
931,10600.169355319376
932,10436.562444748208
933,10436.562444748208
934,10436.562444748208
935,10436.562444748208
936,10436.562444748208
937,10436.562444748208
938,10436.562444748208
939,10436.562444748208
